ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,is_weekend,is_weekend_lower,is_weekend_upper,month,month_lower,month_upper,monthly,monthly_lower,monthly_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,99.20325600000001,67.16330278570308,102.47453656767793,99.20325600000001,99.20325600000001,-14.665784851033107,-14.665784851033107,-14.665784851033107,-2.2477007485167184,-2.2477007485167184,-2.2477007485167184,-3.4420096,-3.4420096,-3.4420096,1.1943088514832816,1.1943088514832816,1.1943088514832816,-0.931614615672525,-0.931614615672525,-0.931614615672525,-10.754581601716154,-10.754581601716154,-10.754581601716154,-0.7318878851277112,-0.7318878851277112,-0.7318878851277112,0.0,0.0,0.0,84.5374711489669
2023-01-02,99.18384310136986,82.83659026626715,121.88905792797227,99.18384310136986,99.18384310136986,3.304766083253539,3.304766083253539,3.304766083253539,1.1943088514832816,1.1943088514832816,1.1943088514832816,0.0,0.0,0.0,1.1943088514832816,1.1943088514832816,1.1943088514832816,-1.1231182920339506,-1.1231182920339506,-1.1231182920339506,4.260863768738376,4.260863768738376,4.260863768738376,-1.0272882449341676,-1.0272882449341676,-1.0272882449341676,0.0,0.0,0.0,102.4886091846234
2023-01-03,99.16443020273972,83.69286481359757,121.8205402804109,99.16443020273972,99.16443020273972,3.678071514506541,3.678071514506541,3.678071514506541,1.1943088514832816,1.1943088514832816,1.1943088514832816,0.0,0.0,0.0,1.1943088514832816,1.1943088514832816,1.1943088514832816,-1.0225004830095141,-1.0225004830095141,-1.0225004830095141,4.8120001841799915,4.8120001841799915,4.8120001841799915,-1.3057370381472178,-1.3057370381472178,-1.3057370381472178,0.0,0.0,0.0,102.84250171724626
2023-01-04,99.1450173041096,82.2063575025052,121.23713071193282,99.1450173041096,99.1450173041096,3.4724828892606183,3.4724828892606183,3.4724828892606183,1.1943088514832816,1.1943088514832816,1.1943088514832816,0.0,0.0,0.0,1.1943088514832816,1.1943088514832816,1.1943088514832816,-0.7711259415206246,-0.7711259415206246,-0.7711259415206246,4.606038859024825,4.606038859024825,4.606038859024825,-1.5567388797268629,-1.5567388797268629,-1.5567388797268629,0.0,0.0,0.0,102.61750019337022
2023-01-05,99.12560440547946,85.74417224926604,121.53566236704437,99.12560440547946,99.12560440547946,4.353386287809746,4.353386287809746,4.353386287809746,1.1943088514832816,1.1943088514832816,1.1943088514832816,0.0,0.0,0.0,1.1943088514832816,1.1943088514832816,1.1943088514832816,-0.5045115852585428,-0.5045115852585428,-0.5045115852585428,5.43430399998795,5.43430399998795,5.43430399998795,-1.7707149784029415,-1.7707149784029415,-1.7707149784029415,0.0,0.0,0.0,103.4789906932892
2023-01-06,99.10619150684933,82.76040919021848,120.74778768078868,99.10619150684933,99.10619150684933,3.2375302222546045,3.2375302222546045,3.2375302222546045,1.1943088514832816,1.1943088514832816,1.1943088514832816,0.0,0.0,0.0,1.1943088514832816,1.1943088514832816,1.1943088514832816,-0.20467265854594896,-0.20467265854594896,-0.20467265854594896,4.187084722285066,4.187084722285066,4.187084722285066,-1.9391906929677947,-1.9391906929677947,-1.9391906929677947,0.0,0.0,0.0,102.34372172910393
2023-01-07,99.08677860821918,64.45834495243899,100.94116600185026,99.08677860821918,99.08677860821918,-16.656386945332823,-16.656386945332823,-16.656386945332823,-2.2477007485167184,-2.2477007485167184,-2.2477007485167184,-3.4420096,-3.4420096,-3.4420096,1.1943088514832816,1.1943088514832816,1.1943088514832816,0.19196982661651976,0.19196982661651976,0.19196982661651976,-12.545709932540136,-12.545709932540136,-12.545709932540136,-2.054946090892492,-2.054946090892492,-2.054946090892492,0.0,0.0,0.0,82.43039166288635
2023-01-08,99.06736570958904,65.22972615696047,103.90205522958163,99.06736570958904,99.06736570958904,-14.503707623011707,-14.503707623011707,-14.503707623011707,-2.2477007485167184,-2.2477007485167184,-2.2477007485167184,-3.4420096,-3.4420096,-3.4420096,1.1943088514832816,1.1943088514832816,1.1943088514832816,0.6107013913234564,0.6107013913234564,0.6107013913234564,-10.754581601697673,-10.754581601697673,-10.754581601697673,-2.112126664120772,-2.112126664120772,-2.112126664120772,0.0,0.0,0.0,84.56365808657733
2023-01-09,99.0479528109589,85.64369143976707,121.73632092874948,99.0479528109589,99.0479528109589,4.186699155784347,4.186699155784347,4.186699155784347,1.1943088514832816,1.1943088514832816,1.1943088514832816,0.0,0.0,0.0,1.1943088514832816,1.1943088514832816,1.1943088514832816,0.8378391501381435,0.8378391501381435,0.8378391501381435,4.260863768749057,4.260863768749057,4.260863768749057,-2.1063126145861357,-2.1063126145861357,-2.1063126145861357,0.0,0.0,0.0,103.23465196674326
2023-01-10,99.02853991232878,84.27488769954117,122.43324246795365,99.02853991232878,99.02853991232878,4.703610460216213,4.703610460216213,4.703610460216213,1.1943088514832816,1.1943088514832816,1.1943088514832816,0.0,0.0,0.0,1.1943088514832816,1.1943088514832816,1.1943088514832816,0.7318478189346054,0.7318478189346054,0.7318478189346054,4.812000184167216,4.812000184167216,4.812000184167216,-2.03454639436889,-2.03454639436889,-2.03454639436889,0.0,0.0,0.0,103.732150372545
