ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,extra_regressors_multiplicative,extra_regressors_multiplicative_lower,extra_regressors_multiplicative_upper,is_weekend,is_weekend_lower,is_weekend_upper,month,month_lower,month_upper,monthly,monthly_lower,monthly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2024-01-01,827.40876,70.24957215278502,140.32348700621884,827.40876,827.40876,0.02562165240686214,0.02562165240686214,0.02562165240686214,0.0,0.0,0.0,0.02562165240686214,0.02562165240686214,0.02562165240686214,0.16196303503490705,0.16196303503490705,0.16196303503490705,-0.8730137834546625,-0.8730137834546625,-0.8730137834546625,-0.3229589987481578,-0.3229589987481578,-0.3229589987481578,-0.7376394721482733,-0.7376394721482733,-0.7376394721482733,0.0,0.0,0.0,105.06950796886917
2024-01-02,833.0813820000001,108.19962245959339,177.1518944338269,833.0813820000001,833.0813820000001,0.02562165240686214,0.02562165240686214,0.02562165240686214,0.0,0.0,0.0,0.02562165240686214,0.02562165240686214,0.02562165240686214,0.21064857016307698,0.21064857016307698,0.21064857016307698,-0.8285180095524591,-0.8285180095524591,-0.8285180095524591,-0.32054487380647184,-0.32054487380647184,-0.32054487380647184,-0.7442433583159271,-0.7442433583159271,-0.7442433583159271,0.0,0.0,0.0,142.85845359014814
2024-01-03,838.754004,132.41629803164898,201.366842231035,838.754004,838.754004,0.02562165240686214,0.02562165240686214,0.02562165240686214,0.0,0.0,0.0,0.02562165240686214,0.02562165240686214,0.02562165240686214,0.24934030531076176,0.24934030531076176,0.24934030531076176,-0.8031964098523697,-0.8031964098523697,-0.8031964098523697,-0.32108201326254193,-0.32108201326254193,-0.32108201326254193,-0.7570763543074518,-0.7570763543074518,-0.7570763543074518,0.0,0.0,0.0,165.06979923789984
2024-01-04,844.426626,145.0746436557037,214.75257139706625,844.426626,844.426626,0.02562165240686214,0.02562165240686214,0.02562165240686214,0.0,0.0,0.0,0.02562165240686214,0.02562165240686214,0.02562165240686214,0.274378972099201,0.274378972099201,0.274378972099201,-0.7862627310053462,-0.7862627310053462,-0.7862627310053462,-0.3156278999998322,-0.3156278999998322,-0.3156278999998322,-0.7706354555115758,-0.7706354555115758,-0.7706354555115758,0.0,0.0,0.0,180.48544090760996
2024-01-05,850.0992478521986,146.61504604434109,215.4418203170269,850.0992478521986,850.0992478521986,0.02562165240686214,0.02562165240686214,0.02562165240686214,0.0,0.0,0.0,0.02562165240686214,0.02562165240686214,0.02562165240686214,0.2854065486238128,0.2854065486238128,0.2854065486238128,-0.7889364573201957,-0.7889364573201957,-0.7889364573201957,-0.3194605164525017,-0.3194605164525017,-0.3194605164525017,-0.7805041418983693,-0.7805041418983693,-0.7805041418983693,0.0,0.0,0.0,179.42495888112205
2024-01-06,855.7718697043973,91.72293722291633,159.4529749636623,855.7718697043973,855.7718697043973,-1.1555683475931378,-1.1555683475931378,-1.1555683475931378,-1.18119,-1.18119,-1.18119,0.02562165240686214,0.02562165240686214,0.02562165240686214,0.2837401653138301,0.2837401653138301,0.2837401653138301,-0.8532159251358404,-0.8532159251358404,-0.8532159251358404,0.8019914346573507,0.8019914346573507,0.8019914346573507,-0.7833791775138825,-0.7833791775138825,-0.7833791775138825,0.0,0.0,0.0,125.61368218933205
2024-01-07,861.4444915565958,80.98015105611307,147.22755977914056,861.4444915565958,861.4444915565958,-1.1555683475931378,-1.1555683475931378,-1.1555683475931378,-1.18119,-1.18119,-1.18119,0.02562165240686214,0.02562165240686214,0.02562165240686214,0.2700740005519649,0.2700740005519649,0.2700740005519649,-0.8648683513646362,-0.8648683513646362,-0.8648683513646362,0.7976828676102401,0.7976828676102401,0.7976828676102401,-0.7770568719337034,-0.7770568719337034,-0.7770568719337034,0.0,0.0,0.0,116.40841435189549
2024-01-08,867.117113417674,127.69296286730112,198.38348146347894,867.117113417674,867.117113417674,0.02562165240686214,0.02562165240686214,0.02562165240686214,0.0,0.0,0.0,0.02562165240686214,0.02562165240686214,0.02562165240686214,0.24395882457570386,0.24395882457570386,0.24395882457570386,-0.8137606190352752,-0.8137606190352752,-0.8137606190352752,-0.32295899874564094,-0.32295899874564094,-0.32295899874564094,-0.7603820972722002,-0.7603820972722002,-0.7603820972722002,0.0,0.0,0.0,161.4913544268267
2024-01-09,872.789735278752,119.93078140348858,190.82211484003315,872.789735278752,872.789735278752,0.02562165240686214,0.02562165240686214,0.02562165240686214,0.0,0.0,0.0,0.02562165240686214,0.02562165240686214,0.02562165240686214,0.2054831140764206,0.2054831140764206,0.2054831140764206,-0.8226044810388657,-0.8226044810388657,-0.8226044810388657,-0.32054487380614916,-0.32054487380614916,-0.32054487380614916,-0.733164373715999,-0.733164373715999,-0.733164373715999,0.0,0.0,0.0,154.8289880337252
2024-01-10,878.4623571398303,110.25671479064872,179.92246167508497,878.4623571398303,878.4623571398303,0.02562165240686214,0.02562165240686214,0.02562165240686214,0.0,0.0,0.0,0.02562165240686214,0.02562165240686214,0.02562165240686214,0.15718997881433844,0.15718997881433844,0.15718997881433844,-0.834336552630346,-0.834336552630346,-0.834336552630346,-0.3210820132625494,-0.3210820132625494,-0.3210820132625494,-0.6960661705889963,-0.6960661705889963,-0.6960661705889963,0.0,0.0,0.0,145.52910246825647
