ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-01-01,89.536512,65.12258157704824,89.98650119541114,89.536512,89.536512,-12.009223648163124,-12.009223648163124,-12.009223648163124,-13.55371204324954,-13.55371204324954,-13.55371204324954,1.5444883950864152,1.5444883950864152,1.5444883950864152,0.0,0.0,0.0,77.52728835183687
2023-01-02,89.56185956164383,85.27619482391215,111.12237499731346,89.56185956164383,89.56185956164383,8.235531544757242,8.235531544757242,8.235531544757242,5.288548645154732,5.288548645154732,5.288548645154732,2.9469828996025114,2.9469828996025114,2.9469828996025114,0.0,0.0,0.0,97.79739110640107
2023-01-03,89.58720712328768,87.01699514155304,113.37653985053814,89.58720712328768,89.58720712328768,10.313395352384365,10.313395352384365,10.313395352384365,5.992531653457652,5.992531653457652,5.992531653457652,4.320863698926711,4.320863698926711,4.320863698926711,0.0,0.0,0.0,99.90060247567204
2023-01-04,89.61255468493151,86.10446732270654,112.188932760363,89.61255468493151,89.61255468493151,9.676780592870948,9.676780592870948,9.676780592870948,4.025239662399189,4.025239662399189,4.025239662399189,5.651540930471758,5.651540930471758,5.651540930471758,0.0,0.0,0.0,99.28933527780245
2023-01-05,89.63790224657535,89.50147430822005,116.21249049718666,89.63790224657535,89.63790224657535,13.822722521399044,13.822722521399044,13.822722521399044,6.897471199979149,6.897471199979149,6.897471199979149,6.9252513214198945,6.9252513214198945,6.9252513214198945,0.0,0.0,0.0,103.4606247679744
2023-01-06,89.66324980821918,92.79747309873403,118.18682571062087,89.66324980821918,89.66324980821918,14.389916248293096,14.389916248293096,14.389916248293096,6.260544745679058,6.260544745679058,6.260544745679058,8.129371502614037,8.129371502614037,8.129371502614037,0.0,0.0,0.0,104.05316605651227
2023-01-07,89.68859736986302,70.26854934655402,97.04497028494153,89.68859736986302,89.68859736986302,-5.657920160436838,-5.657920160436838,-5.657920160436838,-14.910623863470605,-14.910623863470605,-14.910623863470605,9.252703703033767,9.252703703033767,9.252703703033767,0.0,0.0,0.0,84.03067720942619
2023-01-08,89.71394493150686,74.76694491198853,99.80632893409769,89.71394493150686,89.71394493150686,-3.267985781068347,-3.267985781068347,-3.267985781068347,-13.553712043228611,-13.553712043228611,-13.553712043228611,10.285726262160264,10.285726262160264,10.285726262160264,0.0,0.0,0.0,86.44595915043851
2023-01-09,89.73929249315069,93.85113103999036,118.75379796993171,89.73929249315069,89.73929249315069,16.509350995298128,16.509350995298128,16.509350995298128,5.288548645167755,5.288548645167755,5.288548645167755,11.220802350130372,11.220802350130372,11.220802350130372,0.0,0.0,0.0,106.2486434884488
2023-01-10,89.76464005479453,95.11306019528001,119.89120663575613,89.76464005479453,89.76464005479453,18.044873079056753,18.044873079056753,18.044873079056753,5.9925316534424296,5.9925316534424296,5.9925316534424296,12.052341425614328,12.052341425614328,12.052341425614328,0.0,0.0,0.0,107.80951313385128
2023-01-11,89.78998761643835,92.68789738115979,119.70737677735944,89.78998761643835,89.78998761643835,16.802148918814073,16.802148918814073,16.802148918814073,4.025239662400007,4.025239662400007,4.025239662400007,12.776909256414065,12.776909256414065,12.776909256414065,0.0,0.0,0.0,106.59213653525242
2023-01-12,89.8153351780822,97.17859736976831,123.1780415563536,89.8153351780822,89.8153351780822,20.290754940433267,20.290754940433267,20.290754940433267,6.897471199986596,6.897471199986596,6.897471199986596,13.393283740446671,13.393283740446671,13.393283740446671,0.0,0.0,0.0,110.10609011851545
2023-01-13,89.84068273972603,95.95337706052192,123.11484762131988,89.84068273972603,89.84068273972603,20.163000000613337,20.163000000613337,20.163000000613337,6.260544745673382,6.260544745673382,6.260544745673382,13.902455254939955,13.902455254939955,13.902455254939955,0.0,0.0,0.0,110.00368274033937
